paper,name,new_user_repec
w5777,Chang-Jin Kim,pki84
t0070,Chang-Jin Kim,pki84
w6332,Changqi Wu,pwu57
w9574,Chen-Chien Hsun,pch1764
w12007,Chul-In Lee,ple305
w4728,David C Mare,pma565
w2196,David E M Sappington,psa323
w6622,David E M Sappington,psa323
w5179,Dennis R Capozza,pca514
w9262,Dennis R Capozza,pca514
w8046,Dietrich Fausten,pfa367
w4205,Dominique Demougin,pde25
w5858,Eric D Ramstetter,pra758
w7623,Eric D Ramstetter,pra758
w8581,Eric D Ramstetter,pra758
w5385,Eric Ramstetter,pra758
w6922,Erkki Koskela,pko1017
w1121,Gikas A Hardouvelis,pha554
w4571,Gikas A Hardouvelis,pha554
t0030,Heejoon Kang,pka308
w11864,Jaime Casassus,pca681
w6138,Jody Overland,pov8
w7584,Jody Overland,pov8
w2898,John W Graham,pgr426
w3847,Joram Mayshar,pma2277
w8984,Joram Mayshar,pma2277
w9672,Junhan Kim,pki68
w12976,Kay Porter,NA
w9879,K V Ramaswamy,pra550
w7542,Lalith Munasinghe,pmu13
w11031,Lalith Munasinghe,pmu13
w0004,Lee A Lillard,pli669
w0009,Lee A Lillard,pli669
w0047,Lee A Lillard,pli669
w0080,Lee A Lillard,pli669
w0121,Lee A Lillard,pli669
w0138,Lee A Lillard,pli669
w0150,Lee A Lillard,pli669
w0185,Lee A Lillard,pli669
w4172,Mark R Stone,pst156
w6374,Mark Rider,pri188
w6578,Mark Rider,pri188
w7980,Mark Rider,pri188
w3020,Mark Stone,pst156
w1359,Motty Perry,ppe212
t0056,Motty Perry,ppe212
w10834,Nienke Oomes,poo2
w0863,Peter R Hartley,pha1073
w1890,Peter R Hartley,pha1073
w7263,Qinglai Meng,pme722
w4060,Rafael Rob,pro566
w5871,Rafael Rob,pro566
w10874,Rafael Rob,pro566
w12010,Rafael Rob,pro566
w8591,Robert R Reed III,pre88
w9249,Robert R Reed III,pre88
w2597,Robert W Rosenthal,pro267
w2699,Robert W Rosenthal,pro267
w2981,Robert W Rosenthal,pro267
w3354,Robert W Rosenthal,pro267
w9527,Rossitza B Wooster,pwo64
w12379,Sang-Hyop Lee,ple512
w10383,Sara G Castellanos,pca954
w24849,Sara G Castellanos,pca954
w4318,Stephen A O'Connell,poc39
w15960,Stephen A O'Connell,poc39
w9911,Sumon Majumdar,pma466
w9265,T Huw Edwards,ped19
w9357,Ulf-G Gerdtham,pge201
w0023,Warren C Sanderson,psa1311
w0036,Warren C Sanderson,psa1311
w2299,Warren C Sanderson,psa1311
w1937,William R Johnson,pjo99
w5124,William R Johnson,pjo99
w9948,Young-Kyu Moh,pmo398
